timestamp,coin,price_usd,market_cap,volume_24h,change_24h
2026-01-05_171527,bitcoin,92541.0,1847398834221.6926,37950858231.08482,1.3719978285616918
2026-01-05_171527,ethereum,3159.28,380995853577.1975,16022858896.731237,0.5224405551066751
2026-01-05_171527,solana,135.3,76323052699.69034,3887036526.0318584,1.0696028771996333
2026-01-06_122124,bitcoin,93688.0,1872477929403.1687,52614865224.23612,0.8390532216506631
2026-01-06_122124,ethereum,3216.22,388248190009.5903,25774758294.997787,0.7780937912508212
2026-01-06_122124,solana,137.59,77578100216.5996,5387550021.198583,0.6113400460371071
