timestamp,coin,price_usd,market_cap,volume_24h,change_24h,SMA_7,volatility
2026-01-05_171527,bitcoin,92541.0,1847398834221.6929,37950858231.08482,1.3719978285616918,92541.0,0.0
2026-01-06_122124,bitcoin,93688.0,1872477929403.1687,52614865224.23612,0.8390532216506631,93114.5,811.05147802097
2026-01-05_171527,ethereum,3159.28,380995853577.1975,16022858896.731236,0.5224405551066751,3159.28,0.0
2026-01-06_122124,ethereum,3216.22,388248190009.5903,25774758294.997787,0.7780937912508212,3187.75,40.26266012076173
2026-01-05_171527,solana,135.3,76323052699.69034,3887036526.0318584,1.069602877199633,135.3,0.0
2026-01-06_122124,solana,137.59,77578100216.5996,5387550021.198583,0.6113400460371071,136.445,1.6192745289171984
